t,x,y,z,ex,ey,ez,min_obstacle_distance
0.0,0.0,0.0,1.497445251681304,0.0,0.0,-0.002554748318696065,0.16023014052237988
0.009998559951782227,0.0,0.0,1.4973564160229895,0.0,0.0,-0.0026435839770104774,0.16023014052237988
0.020363807678222656,0.0,0.0,1.4972706004473917,0.0,0.0,-0.0027293995526083137,0.16023014052237988
0.02998661994934082,0.0,0.0,1.4971877585116136,0.0,0.0,-0.0028122414883864355,0.16023014052237988
0.04006791114807129,0.0,0.0,1.4971078438364285,0.0,0.0,-0.0028921561635715243,0.16023014052237988
0.049979209899902344,0.0,0.0,1.4970308101747343,0.0,0.0,-0.002969189825265728,0.16023014052237988
0.06000518798828125,0.0,0.0,1.4969566114319304,0.0,0.0,-0.003043388568069627,0.16023014052237988
0.07002639770507812,0.0,0.0,1.4968852017173235,0.0,0.0,-0.0031147982826764675,0.16023014052237988
0.08001184463500977,0.0,0.0,1.496816535351468,0.0,0.0,-0.0031834646485320306,0.16023014052237988
0.0899956226348877,0.0,0.0,1.4967505668941437,0.0,0.0,-0.0032494331058563475,0.16023014052237988
0.10003519058227539,0.0,0.0,1.4966872511375096,0.0,0.0,-0.0033127488624904444,0.16023014052237988
0.1099998950958252,0.0,0.0,1.496626543132181,0.0,0.0,-0.0033734568678189802,0.16023014052237988
0.12023138999938965,0.0,0.0,1.496568398227799,0.0,0.0,-0.0034316017722009207,0.16023014052237988
0.12999296188354492,0.0,0.0,1.4965182225917644,0.0,0.0,-0.003481777408235631,0.16023014052237988
0.14000582695007324,0.0,0.0,1.496459620431551,0.0,0.0,-0.0035403795684489925,0.16023014052237988
0.1500096321105957,0.0,0.0,1.4964088992243274,0.0,0.0,-0.0035911007756725954,0.16023014052237988
0.16001057624816895,0.0,0.0,1.4963605649040645,0.0,0.0,-0.0036394350959354504,0.16023014052237988
0.17000055313110352,0.0,0.0,1.4963190692653414,0.0,0.0,-0.003680930734658583,0.16023014052237988
0.18007993698120117,0.0,0.0,1.4962708845345478,0.0,0.0,-0.003729115465452182,0.16023014052237988
0.190016508102417,0.0,0.0,1.4962334943531672,0.0,0.0,-0.003766505646832785,0.16023014052237988
0.20001435279846191,0.0,0.0,1.4961902333477968,0.0,0.0,-0.003809766652203228,0.16023014052237988
0.21004390716552734,0.0,0.0,1.4961531887929145,0.0,0.0,-0.003846811207085521,0.16023014052237988
0.22008538246154785,0.0,0.0,1.4961182764856455,0.0,0.0,-0.0038817235143544515,0.16023014052237988
0.23003315925598145,0.0,0.0,1.4960854555697765,0.0,0.0,-0.003914544430223543,0.16023014052237988
0.24004220962524414,0.0,0.0,1.4960546853852963,0.0,0.0,-0.00394531461470371,0.16023014052237988
0.2499988079071045,0.0,0.0,1.4960259255507722,0.0,0.0,-0.003974074449227816,0.16023014052237988
